ID,LCLAS_NM,MLSFC_NM,POI_ID,POI_NM,BHF_NM,ASSTN_NM,CL_CD,CL_NM,PNU,CTPRVN_NM,SIGNGU_NM,LEGALDONG_NM,LI_NM,LNBR_NO,LEGALDONG_CD,ADSTRD_CD,RDNMADR_CD,RDNMADR_NM,BULD_NO,LC_LO,LC_LA,GID_CD,LAST_CHG_DE,ORIGIN_NM,FILE_NM,BASE_DE
KCSTRPO23N000003794,장소,문화시설,19497793,전여고서점,,,90802,일반서점,4.14E+18,경기도,시흥시,정왕동,,1861-6,4139013200,4139059300,4.14E+11,옥구상가2길,3,126.7244323,37.3536724,다사313285,20240105,KT,KC_500_LLR_BOOK_STR_2023,20231220
KCSTRPO23N000000902,장소,문화시설,14195762,전여울,,,90802,일반서점,1.14E+18,서울특별시,노원구,중계동,,450-1,1135010600,1135062400,1.14E+11,한글비석로,359,127.0747715,37.65773089,다사624621,20240105,KT,KC_500_LLR_BOOK_STR_2023,20231220
KCSTRPO23N000004015,장소,문화시설,19498106,전여울서점,,,90802,일반서점,4.41E+18,충청남도,천안시 동남구,원성동,,484-1,4413110700,4413153000,4.41E+11,원성7길,32,127.1639838,36.80914434,다바700679,20240105,KT,KC_500_LLR_BOOK_STR_2023,20231220
KCSTRPO23N000002672,장소,문화시설,16772682,전자신서고,시청점,,90802,일반서점,4.72E+18,경상북도,김천시,신음동,,783-9,4715010800,4715057500,4.72E+11,시청로,107,128.1167326,36.13804628,라마554936,20240105,KT,KC_500_LLR_BOOK_STR_2023,20231220
KCSTRPO23N000003532,장소,문화시설,18524754,전주교육서적,,,90800,N,1.11E+18,서울특별시,중구,을지로6가,,17-48,1114014800,1114059000,1.11E+11,청계천로,274,127.0086168,37.56946271,다사566523,20240105,KT,KC_500_LLR_BOOK_STR_2023,20231220
KCSTRPO23N000002318,장소,문화시설,15802581,전주대서점,,,90802,일반서점,1.14E+18,서울특별시,노원구,상계동,,456-135,1135010500,1135067000,1.14E+11,한글비석로,466,127.0664384,37.66457269,다사617628,20240105,KT,KC_500_LLR_BOOK_STR_2023,20231220
KCSTRPO23N000002860,장소,문화시설,17322059,전주대학교,,,90802,일반서점,2.82E+18,인천광역시,미추홀구,도화동,,80-47,2817710400,2817761000,2.82E+11,석정로,172,126.6543652,37.4679471,다사252413,20240105,KT,KC_500_LLR_BOOK_STR_2023,20231220
KCSTRPO23N000003507,장소,문화시설,18516948,전주동심,,,90800,N,4.11E+18,경기도,성남시 분당구,이매동,,120-7,4113510600,4113560000,4.11E+11,양현로94번길,21,127.1263861,37.39098563,다사669324,20240105,KT,KC_500_LLR_BOOK_STR_2023,20231220
KCSTRPO23N000004270,장소,문화시설,19498415,전주비전대학,,,90802,일반서점,1.14E+18,서울특별시,은평구,응암동,,678-6,1138010700,1138060000,1.14E+11,가좌로5길,8,126.9217296,37.5861553,다사489542,20240105,KT,KC_500_LLR_BOOK_STR_2023,20231220
KCSTRPO23N000003505,장소,문화시설,18516769,전주의학서적,,,90800,N,1.11E+18,서울특별시,중구,을지로6가,,17-48,1114014800,1114059000,1.11E+11,청계천로,274,127.0092416,37.56949613,다사566523,20240105,KT,KC_500_LLR_BOOK_STR_2023,20231220
